"District","DisCode","Year","enrollment","firstlang_per","ell_per","swd_per","highneeds_per","ecodis_per","black_per","asian_per","hispanic_per","white_per","native_per","hawaiiPI_per","multiNonHispanic_per"
"Provincetown","02420000",2020,131,26.7,23.7,19.1,62.6,35.1,26,0,16,49.6,0,0,8.4
"Quabbin","07530000",2020,2148,1.3,0.3,19.8,37.8,25.5,0.9,0.9,5.5,90.6,0.1,0.1,1.8
"Quaboag Regional","07780000",2020,1228,2.5,1.3,18.7,47.7,37.9,0.7,0.2,7.2,87.6,0,0,4.3
"Quincy","02430000",2020,9625,43.3,15.9,18.8,59.2,35.1,7.2,39.9,6.9,42.3,0.2,0.3,3.2
"Ralph C Mahar","07550000",2020,628,2.4,0.6,22.8,51.4,40,2.4,1.6,8.6,82.5,0.3,0.2,4.5
"Randolph","02440000",2020,2742,36.9,16.4,24.3,70.1,48.1,49.6,17,15.9,12.1,0.3,0.2,4.8
"Reading","02460000",2020,4151,2.4,1.1,17.3,23.1,7.5,2.4,5.3,3,86.7,0.1,0,2.5
"Revere","02480000",2020,7532,67.8,23.7,16.6,70.2,49,3.3,4.5,57.4,32.6,0.3,0,1.9
"Richmond","02490000",2020,171,1.2,0,14.6,37.4,27.5,1.2,0,7.6,85.4,0,0,5.8
"Rising Tide Charter Public (District)","04830000",2020,657,1.7,0.5,17,27.5,13.1,0.9,1.5,3.7,86.3,1.1,0,6.5
"River Valley Charter (District)","04820000",2020,288,1.4,0,15.6,21.5,8,0.7,2.8,4.9,87.5,0.3,0,3.8
"Rochester","02500000",2020,509,0.4,0.2,18.1,29.2,16.1,0.4,0,2.4,92.1,0,0.2,4.9
"Rockland","02510000",2020,2273,13.2,7.8,17.4,47.9,36,6.1,1.1,15.7,72.9,0,0,4.2
"Rockport","02520000",2020,851,1.6,1.3,20.5,35.7,20.1,1.4,1.8,1.4,95.3,0,0,0.1
"Rowe","02530000",2020,73,0,0,30.1,56.2,34.2,0,0,4.1,86.3,0,0,9.6
"Roxbury Preparatory Charter (District)","04840000",2020,1568,39.6,14.7,16.5,76,59.5,57.7,0.7,39.2,1.3,0.3,0.4,0.4
"Sabis International Charter (District)","04410000",2020,1574,10.7,7.9,13.6,51.8,39.8,28.1,4.1,42.9,18.9,0,0,5.8
"Salem","02580000",2020,3620,31.2,13.2,23.8,64.2,49.3,6.3,3.2,41.1,44.6,0,0,4.7
"Salem Academy Charter (District)","04850000",2020,495,26.1,4.4,16.2,47.7,32.5,10.1,5.7,43,39.2,0,0,2
"Sandwich","02610000",2020,2466,2,1.3,18.9,32.1,17.4,1,2.2,2.8,92.4,0.5,0.2,0.9
"Saugus","02620000",2020,2607,21.4,7.5,18.2,49,32.5,5.1,5.1,19.6,66.7,0.8,0.3,2.3
"Savoy","02630000",2020,58,1.7,0,20.7,60.3,50,3.4,0,3.4,93.1,0,0,0
"Scituate","02640000",2020,2977,2.2,0.3,14.4,21.9,9.8,2.5,0.8,2,92.6,0.1,0,2
"Seekonk","02650000",2020,2080,7.5,3.3,17.8,30.5,13.6,2.1,3.4,5.4,85.4,0,0,3.7
"Seven Hills Charter Public (District)","04860000",2020,669,50.7,26.3,13.8,78.3,58.6,46.2,0.1,45.1,6.1,0,0,2.4
"Sharon","02660000",2020,3607,26.3,3.8,14.6,26.8,8.3,4.9,29.5,5.5,54,0.1,0.1,6
"Shawsheen Valley Regional Vocational Technical","08710000",2020,1265,0.9,0.1,27,36.6,14.2,1,0.9,5.3,90.8,0.2,0,1.8
"Sherborn","02690000",2020,413,6.1,3.1,15.9,22,4.4,2.7,8.2,3.1,81.6,0,0,4.4
"Shrewsbury","02710000",2020,6268,36,2.9,14.8,29.3,11.4,3.1,32.7,8.6,51.3,0.5,0,3.8
"Shutesbury","02720000",2020,124,0.8,0,15.3,41.1,34.7,0,0.8,8.1,83.9,0.8,0,6.5
"Silver Lake","07600000",2020,1741,1,0.5,16.7,28.3,16.3,1.6,1.1,2.2,93.8,0.3,0.1,0.9
"Sizer School: A North Central Charter Essential (District)","04740000",2020,355,2,1.1,18,47.6,37.5,5.4,1.4,22.8,67.3,0.3,0.3,2.5
"Somerset","02730000",2020,1739,2.8,1.1,18.5,36,23.3,0.9,1.3,4.6,90.6,0.2,0,2.4
"Somerset Berkley Regional School District","07630000",2020,1026,1.4,0.3,15.7,25.4,13.9,1.3,1.2,4.3,91.7,0.2,0.2,1.2
"Somerville","02740000",2020,4939,49.4,21.1,20.1,60.4,41.8,9.4,6.4,41.7,38.4,0.1,0.1,3.9
"South Hadley","02780000",2020,1900,7.8,4.7,17.7,39.2,26.9,1.9,2.2,14.6,78.8,0.1,0.1,2.3
"South Middlesex Regional Vocational Technical","08290000",2020,799,36.9,16.5,42.6,77.5,46.1,5.9,0.9,43.4,44.4,2,0,3.4
"South Shore Charter Public (District)","04880000",2020,1001,41,14.9,19.1,50.6,21.1,32.2,5.6,4.1,49.3,0.3,0.2,8.4
"South Shore Regional Vocational Technical","08730000",2020,638,1.3,0.5,29,47.2,24.6,1.7,1.1,5.2,89.3,0.3,0,2.4
"Southampton","02750000",2020,492,2.2,1.8,18.6,29.1,13.4,0.2,1.6,4.7,89.8,0.2,0,3.5
"Southborough","02760000",2020,1280,15.5,6.7,15.4,27.6,6.1,1.3,19.1,5.5,68.1,0.3,0.2,5.6
"Southbridge","02770000",2020,1907,34,18.1,20.5,80.6,71.6,1.9,1.4,60,34.7,0.2,0.1,1.7
"Southeastern Regional Vocational Technical","08720000",2020,1458,22.4,2.2,13.9,48.1,33.1,34.5,1.5,12.8,45.1,0,0,6.1
"Southern Berkshire","07650000",2020,675,4.6,2.1,17.7,45.9,33.5,1.3,0.1,8.3,84.9,0.9,0,4.4
"Southern Worcester County Regional Vocational Technical","08760000",2020,1145,2.4,0.4,14.4,32.2,22.3,1,0.6,10.7,86.4,0.2,0,1.1
"Southwick-Tolland-Granville Regional School District","07660000",2020,1486,5.2,3.6,16.6,36.7,25.6,1.9,0.8,4.2,90.6,0.4,0,2
"Spencer-E Brookfield","07670000",2020,1380,5.2,3.4,22.7,50.1,37.3,2.6,1.1,13.2,79.3,0.2,0,3.6
"Springfield","02810000",2020,25007,30,17.6,24.4,83.7,77.6,18.9,2.1,67.1,9.7,0.2,0,2
"Springfield Preparatory Charter School (District)","35100000",2020,324,25.6,14.2,17.9,75.6,66.4,17.9,2.2,69.8,8,0,0,2.2
"Stoneham","02840000",2020,2372,12.5,3.9,20.3,34.8,17.6,2.2,5.3,9,79.1,0.2,0,4.1
"Stoughton","02850000",2020,3492,17.4,7.1,17.3,47.4,31.9,24,5.9,13.1,51.4,0.2,0.3,5.1
"Sturbridge","02870000",2020,887,1.1,1,13.4,25.7,14.9,1.1,1.6,6.9,85.7,0.3,0,4.4
"Sturgis Charter Public (District)","04890000",2020,832,8.4,0.7,14.2,23.9,11.4,2.3,3.7,5.5,85.8,0.4,0,2.3
"Sudbury","02880000",2020,2667,6.9,2.4,18.4,24.7,5.5,3.7,9.3,4.7,74.7,0,0.1,7.4
"Sunderland","02890000",2020,222,15.8,9.5,20.3,49.5,32.9,2.7,9,10.4,68.5,0,0,9.5
"Sutton","02900000",2020,1357,3,2,18.2,27.6,12.6,1.3,1.7,3.4,89.7,0.1,0.1,3.8
"Swampscott","02910000",2020,2218,13.7,5.6,17.9,34,16,3.7,2.4,12.1,78.9,0.2,0,2.6
"Swansea","02920000",2020,2103,1.8,0.5,13,28.6,19.9,0.8,1.1,2.3,93.8,0.2,0,1.8
"Tantasqua","07700000",2020,1793,1.3,0.6,10.4,28,20.9,1,0.8,5.7,88.6,0.2,0.1,3.6
"Taunton","02930000",2020,8036,11.4,5.7,19.7,57.1,45.9,17.8,1.2,12.7,62.7,0.2,0.1,5.2
"TEC Connections Academy Commonwealth Virtual School District","39020000",2020,2183,4.6,1.1,18.6,55.4,43.9,7.7,2.7,17.4,64.7,0.2,0.4,7
"Tewksbury","02950000",2020,3348,4.9,1.3,18.6,31.3,15.1,4,3.9,5.1,85.5,0.1,0.1,1.3
"Tisbury","02960000",2020,299,42.8,25.8,15.1,59.9,39.1,4.7,0.7,31.8,53.5,1.7,0,7.7
"Topsfield","02980000",2020,648,0.9,0.2,17,20.1,4.2,0.3,1.4,3.1,91.7,0.8,0,2.8
"Tri-County Regional Vocational Technical","08780000",2020,969,0.2,0,31.1,43.1,17.3,1,0.9,6.6,86.7,0.3,0.1,4.3
"Triton","07730000",2020,2354,3.4,1.1,17.6,34.9,22.1,1.4,2,3.4,90.8,0.1,0.1,2
"Truro","03000000",2020,113,0.9,0.9,18.3,47,31.9,6.2,0,6.2,70.8,0,0,16.8
"Tyngsborough","03010000",2020,1630,7.4,3.4,16.9,30.5,13.8,4.4,7.8,5.6,78.7,0.2,0,3.4
"UP Academy Charter School of Boston (District)","04800000",2020,421,55.6,29.9,23.5,86.7,70.3,43.5,5.2,48,2.1,0,0.2,1
"UP Academy Charter School of Dorchester (District)","35050000",2020,711,46.1,33.9,15.9,80.9,63.6,55.3,0.6,40.8,1,0.3,0.7,1.4
"Up-Island Regional","07740000",2020,412,8.5,6.3,19.7,39.1,21.1,0.2,0.2,7,81.1,4.4,0,7
"Upper Cape Cod Regional Vocational Technical","08790000",2020,706,0,0,23.2,43.5,27.1,4.4,1.7,2.8,84,0.8,0.1,6.1
"Uxbridge","03040000",2020,1718,4.8,2.2,17.3,33.9,20.7,1.2,1.3,5.8,89,0.6,0.1,1.9
"Veritas Preparatory Charter School (District)","04980000",2020,365,16.7,4.7,18.4,82.2,77.8,17,1.4,74.2,4.7,0.5,0,2.2
"Wachusett","07750000",2020,7010,3.7,1.7,15.3,26.2,11.2,2.4,3.1,5.8,86.2,0.1,0,2.3
"Wakefield","03050000",2020,3485,6,2.5,15.9,27.1,12.6,2.7,3.2,7.5,83,0.2,0.2,3.2
"Wales","03060000",2020,145,0.7,0.7,22.6,46.6,33.8,2.1,0.7,0.7,93.8,0.7,0,2.1
"Walpole","03070000",2020,3679,10.3,3.6,14.6,26,10.6,3.5,6.6,6.1,80.6,0.3,0,2.9
"Waltham","03080000",2020,5738,49.2,24.9,15.2,55.3,35,9.3,5.1,42.3,40.7,0.1,0,2.5
"Ware","03090000",2020,1134,2.1,1.1,21.8,58.7,52,1.2,0.6,5.3,89,0.2,0.2,3.5
"Wareham","03100000",2020,2133,2.4,1.1,26.6,61.5,52.6,8.1,1,8.5,68.8,1.4,0,12.2
"Watertown","03140000",2020,2663,36.7,13.8,19.1,46.4,26.5,3.9,7.3,17.9,64.4,0.5,0,5.9
"Wayland","03150000",2020,2707,11.8,3.1,18.3,26.1,4.9,5,15.1,4.8,68.9,0,0.1,6.1
"Webster","03160000",2020,1841,14.9,11,22.1,66.2,57.1,5.9,2,30.1,55,0.2,0.1,6.7
"Wellesley","03170000",2020,4862,7.5,2,16.6,23.7,5.2,3.7,14.4,5.1,69.9,0,0,6.8
"Wellfleet","03180000",2020,106,2.8,0.9,19.4,37,29.2,1.9,0.9,2.8,82.1,0,0,12.3
"West Boylston","03220000",2020,909,6.4,3.4,18,35.7,21.7,3,2,12,79,0.1,0,4
"West Bridgewater","03230000",2020,1373,1.8,1.2,10.8,26,16.9,5.2,1.1,4.3,84.3,0.3,0.1,4.7
"West Springfield","03320000",2020,4090,30.4,10.8,18.9,57.5,46.5,3.5,8.2,20.6,64.4,0.1,0,3.1
"Westborough","03210000",2020,3942,30.5,11,15.9,35.4,10.5,1.9,34.4,7.7,52.7,0.2,0.1,3
"Westfield","03250000",2020,5261,11.7,5.4,20.1,50.4,38.4,2.1,3.1,16.2,75.5,0.1,0,3
"Westford","03260000",2020,4928,13.3,1.8,15.1,22.3,5.5,1.1,27.8,2,65,0.1,0,4
"Westhampton","03270000",2020,120,0.8,0.8,22.5,33.3,15.8,0,0,5,93.3,0,0,1.7
"Weston","03300000",2020,2039,9,3.2,17.6,26.1,5.4,6.7,17.6,6.1,64.1,0.1,0,5.3
"Westport","03310000",2020,1418,2.4,0.8,18.3,37.8,25.8,0.5,0.4,3.6,91.6,0.3,0,3.6
"Westwood","03350000",2020,3000,5.7,0.9,18.2,23,5,2.1,11.5,4.4,77.4,0,0,4.6
"Weymouth","03360000",2020,5763,13.1,4.3,20.6,45.8,31.2,6.5,6.6,10.8,71.2,0.2,0.1,4.6
"Whately","03370000",2020,127,3.9,3.9,11.8,32.3,19.7,0.8,0,3.9,93.7,0,0,1.6
"Whitman-Hanson","07800000",2020,3759,2.6,1,15.7,31.6,19.8,3,1.4,5.4,86.6,0.5,0.1,3
"Whittier Regional Vocational Technical","08850000",2020,1254,6,1.6,21.5,47.7,30.6,2.5,1.3,23.8,69.1,0.5,0,2.8
"Williamsburg","03400000",2020,137,2.2,1.5,18.1,32.6,22.6,2.2,2.2,2.2,93.4,0,0,0
"Wilmington","03420000",2020,3166,3.2,0.9,18.2,25.9,9.6,1.4,5.2,4.7,84.8,0.1,0.1,3.7
"Winchendon","03430000",2020,1224,2.3,0.9,21.8,54.1,43.8,1.3,2.3,6.5,86.4,0.1,0.1,3.3
"Winchester","03440000",2020,4678,18.1,2.6,16.6,25,5,1,18.1,3.4,71.1,0.2,0,6.2
