"District","DisCode","Year","enrollment","firstlang_per","ell_per","swd_per","highneeds_per","ecodis_per","black_per","asian_per","hispanic_per","white_per","native_per","hawaiiPI_per","multiNonHispanic_per"
"Brewster","00410000",2021,420,5.2,4.3,19.2,41,31.2,3.1,0.2,8.8,81.4,0,0,6.4
"Bridge Boston Charter School (District)","04170000",2021,338,45,27.5,21.9,83.4,68.6,66.6,0.9,26,3,0,0.3,3.3
"Bridgewater-Raynham","06250000",2021,5272,5.8,2.8,16.3,32.9,20.5,7.6,2.3,3.3,81.7,0.1,0.1,5
"Brimfield","00430000",2021,269,1.1,1.1,15.9,36.3,23.8,1.5,1.1,4.8,91.8,0.7,0,0
"Bristol County Agricultural","09100000",2021,448,0,0,14.7,36.6,25.4,2.2,0.4,4.5,91.1,0,0.2,1.6
"Bristol-Plymouth Regional Vocational Technical","08100000",2021,1319,2,0.3,17.1,41.2,29.2,3.6,1,6,85.4,0.4,0,3.7
"Brockton","00440000",2021,15384,44.7,25.8,17.3,77.9,65.5,60.6,1.9,17,15.5,0.3,0.2,4.5
"Brooke Charter School (District)","04280000",2021,2053,34.4,7,11.2,66.1,54.4,52.8,1.8,38.8,4.1,0.2,0.1,2.3
"Brookfield","00450000",2021,266,0.8,0.4,12,36.1,28.9,0.4,0,6,89.8,0,0,3.8
"Brookline","00460000",2021,6891,29.1,9.4,17,35.4,10.8,6.2,20,10.8,52.2,0,0.1,10.8
"Burlington","00480000",2021,3388,20.4,5,14.2,30.9,15.2,7.3,17.9,6.8,63.8,0.2,0,4.1
"Cambridge","00490000",2021,6678,27.6,5.9,23.1,48.2,31.5,22.8,12.3,13.8,40.9,0.2,0.1,9.8
"Canton","00500000",2021,3164,7.3,2.2,12.9,29.5,17,10.8,11.5,5.7,65.3,0.1,0.2,6.4
"Cape Cod Lighthouse Charter (District)","04320000",2021,250,6,0.4,17.6,34,18,0.8,1.2,3.6,91.2,0.4,0,2.8
"Cape Cod Regional Vocational Technical","08150000",2021,626,5,2.2,26.5,62.8,46.6,8.3,0.5,12.6,71.4,1.6,0.3,5.3
"Carlisle","00510000",2021,579,4.8,1.9,17.2,24.7,4.8,0.5,13,5.5,72.4,0,0.2,8.5
"Carver","00520000",2021,1476,1.5,1.4,19.3,38.5,25.5,2,0.3,1.7,94.5,0.3,0.1,1.1
"Central Berkshire","06350000",2021,1515,0.9,0.5,15.2,43.8,37,0.5,0.7,4.8,89.6,0.2,0,4.3
"Chelmsford","00560000",2021,4826,20.8,4.2,16.6,31.2,14.7,4,16.5,7.5,68.2,0.2,0.1,3.5
"Chelsea","00570000",2021,5936,83.4,35.7,16.7,85.8,70.6,4.5,0.1,87.7,6.2,0.2,0,1.3
"Chesterfield-Goshen","06320000",2021,101,0,0,23.8,45.5,26.7,1,0,3,93.1,2,0,1
"Chicopee","00610000",2021,6850,13.3,5.7,18.9,66.5,58.9,4.5,2,40.8,49.2,0,0,3.4
"Christa McAuliffe Charter Public (District)","04180000",2021,399,25.1,4.3,19.3,54.9,37.3,6.8,9.5,33.3,44.6,0.3,0,5.5
"City on a Hill Charter Public School Circuit Street (District)","04370000",2021,299,34.4,23.4,21.7,83.9,69.2,64.5,0,32.4,2.3,0,0,0.7
"Clarksburg","00630000",2021,190,0,0,18.4,40,30,0,0.5,2.6,95.3,0,0,1.6
"Clinton","00640000",2021,1827,27.7,13.4,22.8,59,43.7,3.2,1,31.1,62.1,0,0.1,2.5
"Codman Academy Charter Public (District)","04380000",2021,348,21.8,10.3,24.7,77,67.2,77.6,0,20.7,0.6,0.3,0,0.9
"Cohasset","00650000",2021,1448,0.6,0.1,13.1,17.9,5.7,2.9,1.9,1.2,92,0.2,0,1.9
"Collegiate Charter School of Lowell (District)","35030000",2021,1015,38.7,22.9,5.8,68.3,52.5,20.4,27.9,33,14.8,0.5,0,3.4
"Community Charter School of Cambridge (District)","04360000",2021,304,45.1,5.9,14.5,57.2,45.4,71.1,4.3,15.1,4.9,0.3,0,4.3
"Community Day Charter Public School - Gateway (District)","04260000",2021,400,57.3,19.5,11.5,83,64.8,1.3,0.5,95.5,2.3,0.5,0,0
"Community Day Charter Public School - Prospect (District)","04400000",2021,399,61.9,24.1,12.3,80.5,62.7,0.8,0,97.2,1.8,0.3,0,0
"Community Day Charter Public School - R. Kingman Webster (District)","04310000",2021,400,52.3,20.8,10.8,78.5,60.3,1.3,1,94.5,2.8,0,0,0.5
"Concord","00670000",2021,2001,8.3,2.3,17.4,25.9,8.4,4.8,7.6,6.9,74,0,0,6.5
"Concord-Carlisle","06400000",2021,1316,5.2,0.3,17.9,23.2,7.8,4.5,7.8,5,76.7,0.2,0,5.9
"Conservatory Lab Charter (District)","04390000",2021,457,19.3,15.3,12.7,71.3,60.4,47.9,1.8,41.6,5.5,0.2,0,3.1
"Conway","00680000",2021,125,0,0,16.8,33.6,25.6,0.8,0,4.8,92,0,0,2.4
"Danvers","00710000",2021,3309,4.7,1.3,18.5,34.9,20.7,2.4,2.4,8.8,83.8,0.1,0,2.5
"Dartmouth","00720000",2021,3419,2.6,1.6,17.1,38,25.6,1.5,0.6,5.3,86,0,0,6.6
"Dedham","00730000",2021,2556,13.4,5.5,21.9,42.1,24.8,7.2,2.3,16.1,69.1,0,0,5.3
"Deerfield","00740000",2021,311,1.9,1.6,22.8,34.7,22.2,0,0.3,6.4,85.2,0,0,8
"Dennis-Yarmouth","06450000",2021,2739,19.8,11.5,17.9,60.3,48,10.3,2.7,13.1,65.2,2,0.2,6.6
"Dighton-Rehoboth","06500000",2021,2616,1.2,0.4,15.3,28.5,17.7,1.6,1.5,4.3,88.8,0.1,0,3.7
"Douglas","00770000",2021,1151,1,0.7,18.8,32.2,18.8,0.7,0.8,5,90.2,0,0.2,3.2
"Dover","00780000",2021,475,7.6,2.3,13.8,19.8,2.1,3.4,14.3,4.2,72.8,0,0,5.3
"Dover-Sherborn","06550000",2021,1185,6.2,0.3,17,20.6,3.7,3.3,11.3,4.6,74.5,0.3,0,6.1
"Dracut","00790000",2021,3659,3.9,1.7,15.9,40.2,28.7,7.5,7.7,11.9,70.8,0.3,0,1.9
"Dudley Street Neighborhood Charter School (District)","04070000",2021,294,33,27.9,12.2,85.4,72.8,59.2,0.7,35,2.7,0.3,0.3,1.7
"Dudley-Charlton Reg","06580000",2021,3439,8.3,3.5,16.1,37.2,25.6,1.7,1,9.7,84.3,0.2,0.1,3.1
"Duxbury","00820000",2021,2790,2.2,0.3,14.7,20.2,6.7,0.5,1.3,2.5,91.9,0.1,0,3.8
"East Bridgewater","00830000",2021,2082,1.3,0.8,17.4,35.2,22.3,4.4,0.8,3,88.4,0.5,0,2.9
"East Longmeadow","00870000",2021,2404,7.5,1.6,18.4,36.2,22.7,3.4,6,9.7,77.6,0,0,3.2
"Eastham","00850000",2021,194,9.8,4.6,18,49,37.1,9.3,2.1,5.2,75.8,0,0,7.7
"Easthampton","00860000",2021,1445,6.6,3.3,19.2,45.9,35.5,1.2,3.3,14.3,77,0.3,0.1,3.8
"Easton","00880000",2021,3410,5.4,1.5,19.2,31.7,16.7,7.1,3.3,6.5,78.9,0.3,0.1,3.8
"Edgartown","00890000",2021,382,38.5,21.2,21.7,60.3,37.4,3.7,0.8,20.4,67.3,3.1,0,4.7
"Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)","04520000",2021,385,53.8,12.2,20.3,82.3,70.6,36.9,1,56.4,2.9,0.3,0,2.6
"Erving","00910000",2021,113,1.8,1.8,20.2,45.6,28.3,0,0,4.4,85,0,0,10.6
"Essex North Shore Agricultural and Technical School District","08170000",2021,1564,6.5,0.3,18,34.1,19.2,1.6,1.7,13.1,79.3,0.3,0.1,3.9
"Everett","00930000",2021,6883,66.2,27.1,18.1,77.2,61.1,14.9,5.4,59.2,18.4,0.3,0.1,1.6
"Excel Academy Charter (District)","04100000",2021,1389,57.3,8.5,18.8,72.6,53.8,6,0.9,79.4,12,0.7,0.4,0.6
"Fairhaven","00940000",2021,1918,3.9,1.4,16.6,42.4,33.1,2.7,2.2,5.4,85.3,0.8,0,3.6
"Fall River","00950000",2021,9998,28.3,17.6,23,81,73.8,9,3.5,29.7,48.8,0.1,0,8.9
"Falmouth","00960000",2021,3029,7.6,4,19.1,45.3,33.6,5,1.8,7.5,78.1,0.9,0,6.7
"Farmington River Reg","06620000",2021,107,0,0,23.4,48.6,38.3,0,0,2.8,97.2,0,0,0
"Fitchburg","00970000",2021,5116,37.4,15.7,24.2,75.6,66.4,6.1,4.4,55.6,26.2,0,0,7.6
"Florida","00980000",2021,80,0,0,22.5,47.5,33.8,0,0,0,100,0,0,0
"Four Rivers Charter Public (District)","04130000",2021,215,0.9,0,14.4,37.2,27.9,0.9,1.4,7.4,82.8,0.5,0,7
"Foxborough","00990000",2021,2450,4.7,2.4,20.2,34.9,18.3,6.3,4.7,6.8,78.4,0.4,0.1,3.2
"Foxborough Regional Charter (District)","04460000",2021,1714,17.7,7.2,10.2,45.4,30.5,51.5,9.6,6,27.5,0.1,0.2,5.1
"Framingham","01000000",2021,8733,48.4,26.2,21.7,63.8,44.9,6.8,4.4,36.2,47.9,0.1,0.1,4.5
"Francis W. Parker Charter Essential (District)","04780000",2021,399,2.5,0,16,23.6,10,1.8,2.5,4,86.2,0.3,0,5.3
"Franklin","01010000",2021,4830,6.5,1.5,18.2,27.8,11.3,2.1,6.2,4.7,84.2,0.1,0.7,2
"Franklin County Regional Vocational Technical","08180000",2021,555,0.4,0.2,30.5,57.8,41.4,1.1,0,6.3,89.4,0.2,0.7,2.3
"Freetown-Lakeville","06650000",2021,2702,1.3,0.5,15.9,29.8,18.9,1.8,0.7,2.4,92.7,0,0,2.3
"Frontier","06700000",2021,649,3.5,0.8,17.5,32.8,21.1,2.5,2.9,6.6,83.7,0,0.2,4.2
"Gardner","01030000",2021,2211,10,5,22.5,65.4,56.7,3.2,2.4,23.2,63.5,0.2,0,7.6
"Gateway","06720000",2021,753,4.2,2.4,21.6,50.4,38.5,0.5,0.4,5.6,91.6,0.3,0.3,1.3
"Georgetown","01050000",2021,1218,1.5,0,17.2,25.5,11.1,0.8,1.1,2.6,93.4,0,0.2,1.9
"Gill-Montague","06740000",2021,846,10.5,7.6,24.5,62.3,51.3,1.5,0.5,14.5,76,0.2,0.2,7
"Global Learning Charter Public (District)","04960000",2021,503,41.2,8.9,12.3,72.4,58.1,10.7,1.4,46.3,36,0.8,0,4.8
"Gloucester","01070000",2021,2766,11.8,7.9,25.5,55.3,40.7,1.6,1.3,12.7,80,0.2,0.4,3.8
"Grafton","01100000",2021,3121,3.8,2,20.1,31.3,15,2,12.4,5.8,76.8,0.2,0.1,2.8
"Granby","01110000",2021,716,7.8,5.4,19,43.6,32.5,0.1,1.3,10.8,83.7,0.3,0,3.9
"Greater Fall River Regional Vocational Technical","08210000",2021,1452,7.4,1.7,11,47.5,40.6,3.5,2.2,12.3,75.5,0.7,0,5.9
"Greater Lawrence Regional Vocational Technical","08230000",2021,1634,43.9,9.4,16.4,73.4,60.8,1.2,1.2,81.9,15.4,0.1,0.1,0.1
"Greater Lowell Regional Vocational Technical","08280000",2021,2296,26,9.5,17.3,63.3,48.3,5.2,17.1,36.1,38.3,0.2,0,3
"Greater New Bedford Regional Vocational Technical","08250000",2021,2113,19.9,4.2,10.3,52.9,42.4,8,1.1,25.3,59.3,0.4,0.1,5.8
"Greenfield","01140000",2021,1545,8.8,5.2,19.5,62.1,55.2,2.9,1.4,20.3,70.1,0.2,0,5.2
"Greenfield Commonwealth Virtual District","39010000",2021,943,7.1,2.7,21,61.3,52.8,7.5,5.2,18.9,61,0.1,0.3,7
"Groton-Dunstable","06730000",2021,2262,2.3,1,16.3,23.7,8,1,6.9,3.4,84.9,0.3,0.1,3.3
"Hadley","01170000",2021,506,6.1,4,13.5,32.9,23.1,3.2,4.2,10.3,76.9,0.4,2.4,2.8
"Halifax","01180000",2021,569,1.9,1.6,17.6,35.7,22,1.6,0,6.2,89.1,0.4,0,2.8
"Hamilton-Wenham","06750000",2021,1690,2,0.8,19,24,7.3,0.5,3.8,4.9,87.9,0,0.2,2.8
"Hampden Charter School of Science East (District)","04990000",2021,540,7,5.2,13.5,60,52.4,30.9,2,37.4,25.9,0.6,0,3.1
"Hampden Charter School of Science West (District)","35160000",2021,320,11.3,7.8,16.6,60.9,51.3,16.9,1.3,34.1,46.3,0,0,1.6
"Hampden-Wilbraham","06800000",2021,2865,3.2,1.3,15.4,31.2,20.2,2.8,2.4,8.5,82.5,0.3,0.1,3.5
"Hampshire","06830000",2021,683,3.1,1.5,23.1,34.6,18.3,0.3,1.3,4.1,91.2,0.1,0,2.9
"Hancock","01210000",2021,57,1.8,0,26.3,43.9,28.1,1.8,3.5,0,93,0,0,1.8
"Hanover","01220000",2021,2614,3.4,1,18.4,25.9,9.3,1.2,2.2,2.4,93.5,0,0,0.7
"Harvard","01250000",2021,1006,5.4,0.6,11.1,18.8,8.2,2.4,12,4.4,76.5,0,0,4.7
"Hatfield","01270000",2021,397,1,0.3,21,31.8,14.9,0.8,1,4.3,91.9,0,0,2
"Haverhill","01280000",2021,7771,16.9,9.6,23.3,64.9,53.6,5.3,1.8,40.1,50.3,0.2,0.1,2.1
"Hawlemont","06850000",2021,118,4.2,4.2,28,59.3,50.8,0,0,6.8,88.1,0.8,0,4.2
"Helen Y. Davis Leadership Academy Charter Public (District)","04190000",2021,193,9.3,4.1,16.6,74.6,65.3,77.2,0,20.7,1,0,0.5,0.5
"Hill View Montessori Charter Public (District)","04550000",2021,303,11.9,5.9,19.1,49.5,31.4,5,0.3,27.4,63.4,0,0,4
"Hilltown Cooperative Charter Public (District)","04500000",2021,218,1.4,0,15.1,25.7,16.1,0.9,2.8,3.2,79.8,0,0,13.3
"Hingham","01310000",2021,3894,1.8,0.3,13.6,18.4,6.4,1.9,2.8,3.7,88.1,0.1,0,3.4
"Holbrook","01330000",2021,1268,20.1,5.4,19.2,51,34.2,21.5,5.6,14.7,50.4,0.3,0,7.5
"Holland","01350000",2021,194,0,0,13.8,40.8,32.5,0.5,1.5,7.7,87.6,0.5,0,2.1
"Holliston","01360000",2021,2754,11.5,2.5,16.7,25.3,8.4,1.2,9.4,5,81,0.4,0.2,2.8
"Holyoke","01370000",2021,5153,38.9,20.2,27.9,86.1,81.4,3.3,0.6,80.9,13.8,0,0,1.3
"Holyoke Community Charter (District)","04530000",2021,702,32.2,12.5,19.9,80.6,73.6,0.7,1,92.7,3.7,0,0,1.9
"Hoosac Valley Regional","06030000",2021,1035,1.5,1.2,23.9,61,53.4,3.4,0.6,3.1,90.3,0.2,0,2.4
"Hopedale","01380000",2021,1099,8.1,3.7,20.9,32.7,17.1,1.3,1.8,9.7,82.2,0.2,0.2,4.6
"Hopkinton","01390000",2021,3932,16.4,6.7,12.1,26,6.4,0.8,23.6,4.1,67,0.3,0,4.2
"Hudson","01410000",2021,2416,27.5,12.8,17.6,45.9,28.8,2.1,1.7,15.3,77.8,0.2,0,2.9
"Hull","01420000",2021,802,1.9,1.2,21.2,45.5,32.9,1.7,1.7,3.5,90.3,0.1,0,2.6
"Innovation Academy Charter (District)","04350000",2021,790,9.4,2.4,21,38,17.7,8.2,8.7,11,67.2,0.1,0,4.7
"Ipswich","01440000",2021,1594,5.5,2.3,18,30,16.5,1.1,1.3,7.1,86.5,0.1,0,3.9
"King Philip","06900000",2021,1946,1.7,0.4,17.1,25.2,11.4,2.2,2.7,4.7,87.9,0.2,0,2.4
"Kingston","01450000",2021,1035,3.2,2.6,18.1,33.1,19.6,0.6,0.6,2.2,95.6,0.3,0,0.8
"KIPP Academy Boston Charter School (District)","04630000",2021,613,47.8,16.8,16.2,82.4,71.1,64.6,0,33.6,0.5,0.3,0,1
"KIPP Academy Lynn Charter (District)","04290000",2021,1615,80.6,12.1,11.5,72.9,57.7,18.3,3.3,69.8,5.8,0.2,0.1,2.5
"Lawrence","01490000",2021,12842,72.3,34.5,19.5,89,78.5,1.2,1.2,93.9,3.3,0,0,0.4
"Lawrence Family Development Charter (District)","04540000",2021,786,77.1,22.6,8.1,81.3,66.5,0.4,0.1,98.6,0.9,0,0,0
"Learning First Charter Public School (District)","04860000",2021,665,52.5,26,13.8,83.5,70.2,46.5,0.2,45.3,6.2,0,0,2
"Lee","01500000",2021,683,7.5,4.2,15.5,47.2,38.2,0.9,2.8,8.6,83.9,0.3,0,3.5
"Leicester","01510000",2021,1374,9,3.6,18.1,42.9,30.1,5.2,3.2,12.9,75.5,0.1,0,3.1
"Lenox","01520000",2021,750,8.1,2.7,9.2,27.4,18.3,0.4,4.9,9.5,80.1,0,0.1,4.9
"Leominster","01530000",2021,5859,28.3,11.8,23.8,61,46.6,8.4,3.5,38.6,45.1,0.1,0,4.4
"Leverett","01540000",2021,116,0,0,9.5,24.1,18.1,0,0,2.6,89.7,0,0,7.8
"Lexington","01550000",2021,6901,33.4,8.1,14,30.6,6.7,3.9,41.8,4.8,42.2,0.1,0,7.3
"Libertas Academy Charter School (District)","35140000",2021,260,45.4,36.9,20,88.8,81.2,15,0.8,80.4,1.5,0.8,0,1.5
"Lincoln","01570000",2021,1048,10.6,4.5,17.6,29.1,8.5,9.4,5,18.2,54.8,0.1,0.8,11.7
"Lincoln-Sudbury","06950000",2021,1525,4.3,0.8,21.7,26.7,7.5,5.4,4.2,5.3,77.2,0.1,0.1,7.8
"Littleton","01580000",2021,1553,7.1,1.7,14.9,24.2,8.7,1,12,3,81.5,0.2,0.2,2.3
"Longmeadow","01590000",2021,2751,6.5,0.4,18.1,26.4,10.4,2.6,10.2,5.8,76.8,0,0.1,4.4
"Lowell","01600000",2021,14023,33.9,24,18.3,76.9,63.3,7.9,28.2,35,24.8,0,0,4.1
"Lowell Community Charter Public (District)","04560000",2021,803,74.5,54.3,17.1,81.1,56.8,24.7,18.3,48.4,4.6,0,0,4
"Lowell Middlesex Academy Charter (District)","04580000",2021,88,9.1,4.5,35.2,76.1,67,3.4,11.4,39.8,35.2,0,0,10.2
"Ludlow","01610000",2021,2383,9.1,3.7,17.1,42.2,31.7,1.9,0.7,12.1,81.5,0,0.2,3.6
"Lunenburg","01620000",2021,1593,4.1,1.1,16.3,32.1,20.7,1.9,1.5,9.3,83.6,0.3,0.6,2.8
"Lynn","01630000",2021,15587,61.3,31.5,17.7,79.5,65.1,8.2,7.6,67.6,13.1,0.3,0,3.2
"Lynnfield","01640000",2021,2167,8.3,2.4,17.3,26.4,9.4,1.9,7,5.8,82,0,0,3.2
"Ma Academy for Math and Science","04680000",2021,98,0,0,0,3.1,2,1,57.1,0,36.7,0,0,5.1
"Malden","01650000",2021,6120,56.8,18.6,17.6,69.8,51.9,18.7,23.5,26.1,27.5,0.2,0,4
"Manchester Essex Regional","06980000",2021,1264,2.2,0.6,18,27,11.2,0.4,1.1,1.3,96.7,0,0,0.6
"Mansfield","01670000",2021,3504,6.8,1.7,15.8,29.3,16.9,4.5,7.4,5.9,77.9,0.1,0,4.3
"Map Academy Charter School (District)","35170000",2021,206,0,0,47.6,73.3,56.8,6.8,0.5,16,68.9,1,1,5.8
"Marblehead","01680000",2021,2704,7.8,4.4,22.5,32.1,11.3,2.9,1.4,6.8,85.4,0,0,3.4
"Marblehead Community Charter Public (District)","04640000",2021,208,8.7,8.7,24,46.6,17.3,5.3,1.9,8.7,81.3,0,0,2.9
"Marion","01690000",2021,396,0.5,0.3,20.6,38.8,24.2,4,1.3,3.5,85.4,0,0,5.8
"Marlborough","01700000",2021,4682,52.1,23.9,17.3,66.3,45.4,3.7,3,51.6,39.2,0.1,0,2.4
"Marshfield","01710000",2021,3760,3.2,1.2,18.9,29.2,14.1,0.5,1.1,3.4,92.8,0.1,0.2,1.9
"Martha's Vineyard","07000000",2021,689,23.2,11.9,22.7,54.3,34.1,4.8,1.3,20.8,65.9,2.2,0.3,4.8
"Martha's Vineyard Charter (District)","04660000",2021,176,5.7,5.7,25.6,54,37.5,0.6,0.6,17,69.9,1.1,0,10.8
"Martin Luther King Jr. Charter School of Excellence (District)","04920000",2021,365,31,26,12.3,87.1,78.4,29.9,1.1,64.9,3.6,0.3,0,0.3
"Masconomet","07050000",2021,1684,1,0.2,18.6,25.1,8.3,0.7,3.7,3,90,0.1,0.2,2.4
"Mashpee","01720000",2021,1468,9.2,4.5,15.4,45,35.1,4.9,2,5.7,72.3,5.7,0.1,9.3
"MATCH Charter Public School (District)","04690000",2021,1213,56.9,18.1,22.3,83.6,69.2,48.2,0.5,46.7,1.3,0.4,0.2,2.6
"Mattapoisett","01730000",2021,405,0.7,0.5,16.1,29.5,18.8,0.2,0.7,5.2,88.1,0,0,5.7
"Maynard","01740000",2021,1179,10.9,5.1,19.3,36,20.1,1.6,1.8,14.1,77.6,0.3,0,4.7
"Medfield","01750000",2021,2511,3.2,0.8,12.4,18,6.3,1.2,4.2,3.5,86.9,0.3,0,3.8
"Medford","01760000",2021,3943,26.8,10.4,19.5,50.4,34.2,11.9,9.5,13.6,59.3,0.5,0.1,5.1
"Medway","01770000",2021,2074,2.4,1.5,17,25.8,11.1,1.7,3.1,5.6,86.6,0.2,0.1,2.6
"Melrose","01780000",2021,3701,13.7,5.4,16.7,29.6,12.8,6,6.1,5.4,76.9,0.1,0,5.5
"Mendon-Upton","07100000",2021,2166,5.1,2.1,15.9,26.3,10.8,0.7,2.7,5.1,89.1,0.1,0,2.3
"Methuen","01810000",2021,6450,27.5,10.7,19.6,56.3,41.9,3.8,3.7,44.9,43.6,0,0,3.9
"Middleborough","01820000",2021,2916,2.5,1.4,19.1,43.5,32.8,2.6,1.1,2.9,87.8,0.6,0,5
"Middleton","01840000",2021,678,3.2,1.5,15.8,24.5,9.1,1.3,4.4,5.8,84.1,0.6,0.1,3.7
"Milford","01850000",2021,4235,40.4,22.2,17.1,60.3,46,3.2,1.4,31,59.6,1.4,0,3.3
"Millbury","01860000",2021,1587,8.9,4.6,19.1,44.5,29.3,3.7,3.5,8.2,78.8,0,0.1,5.7
"Millis","01870000",2021,1156,5.1,2.2,13.7,26.3,14.2,1.1,2.3,8.4,83.7,0.3,0.2,4
"Milton","01890000",2021,4355,9.6,2.1,16,26.4,11.4,13.1,7.5,5,68.8,0.1,0.1,5.4
"Minuteman Regional Vocational Technical","08300000",2021,635,3.6,0.9,44.1,54.5,17.8,3.8,3.8,7.7,79.4,0.3,0,5
"Mohawk Trail","07170000",2021,739,0.9,0.8,24.1,50.8,37.5,0.3,0.1,4.7,92.2,0,0,2.7
"Monomoy Regional School District","07120000",2021,1763,9.9,4.4,16.9,43.3,31.9,5.8,1.4,8.7,77.4,0.6,0.2,6
"Monson","01910000",2021,858,2.1,0.5,19.5,43.6,33.1,1.3,1.3,5,89.5,0.1,0.2,2.6
"Montachusett Regional Vocational Technical","08320000",2021,1417,6.4,1.1,14.4,39.4,27.9,2,1.8,17.2,74.8,0,0,4.1
"Mount Greylock","07150000",2021,1093,1.1,0.7,14.2,28.5,19.8,2.4,1.8,4.8,86.2,0,0,4.8
"Mystic Valley Regional Charter (District)","04700000",2021,1629,46.4,1.7,11.4,33.3,21.5,17.7,24.7,9.8,42.8,0.2,0,4.7
"Nahant","01960000",2021,147,0,0,21.1,38.1,22.4,0,0.7,6.1,86.4,0,0,6.8
"Nantucket","01970000",2021,1666,40,16.3,16,51.9,28.9,9.4,1.4,36.1,48.5,0.1,0,4.4
"Narragansett","07200000",2021,1327,1.3,0.5,18.8,42.9,32.5,0.7,0.3,7.5,87.9,0.1,0.1,3.4
"Nashoba","07250000",2021,3086,7.2,3,17.4,26.5,10.2,1.4,3.7,6.4,85.4,0.1,0.1,3
"Nashoba Valley Regional Vocational Technical","08520000",2021,726,3.2,0.3,33.6,50.1,24.7,2.3,1.9,7.6,84.6,0.3,0.1,3.2
"Natick","01980000",2021,5251,10.6,3,14.8,25.5,10.7,2.7,10.7,6.7,74.3,0.1,0,5.6
"Nauset","06600000",2021,1426,6,2.5,17.7,37.4,23.8,5,2.2,5.4,84.4,0.1,0.1,2.7
"Needham","01990000",2021,5483,10.4,3.2,17.4,25.5,6.4,3.2,10.2,6.1,74.8,0.1,0.1,5.5
"Neighborhood House Charter (District)","04440000",2021,810,22.2,9,20.4,67,52.3,53.1,2.5,25.6,13,0.7,0,5.2
"New Bedford","02010000",2021,12565,42.1,26.3,22.2,84.1,74,13.5,0.8,41.7,38.2,0.4,0.1,5.3
"New Heights Charter School of Brockton (District)","35130000",2021,742,16.4,10.4,9.3,65.9,51.6,87.2,1.2,7.3,1.3,0.4,0,2.6
"New Salem-Wendell","07280000",2021,129,0,0,16.3,38,27.9,0,0,3.9,87.6,0,0,8.5
"Newburyport","02040000",2021,2126,5.9,2.2,19.3,27.9,11.5,0.9,1.9,4.1,90.7,0,0,2.4
"Newton","02070000",2021,12024,26.8,5.4,18.3,33,10.4,4.6,20,8.2,59.3,0.1,0.1,7.7
"Norfolk","02080000",2021,987,4.7,2.4,18.5,26.1,6.2,0.7,2.5,3.1,90.7,0,0,2.9
"Norfolk County Agricultural","09150000",2021,588,0.3,0.2,23.3,36.1,15.6,1.2,1.2,1.4,91,0.3,0.3,4.6
"North Adams","02090000",2021,1223,1.2,0.9,25.7,72.3,66.6,2.5,0.6,7.3,80.5,0.2,0.2,8.7
"North Andover","02110000",2021,4510,11.2,2,17.4,32.8,18.6,2.9,7.7,12.9,73,0.1,0,3.4
"North Attleborough","02120000",2021,3936,9.8,3.9,18.5,35.1,20.6,4.6,7.5,5.2,78.3,0.2,0.1,4
"North Brookfield","02150000",2021,503,1.4,1,23.9,49.5,35.4,1,0.6,6.8,87.7,0,0,4
"North Middlesex","07350000",2021,2893,2.4,1.4,22.4,39,22.1,2.1,1.8,5,87.8,0.1,0,3.1
"North Reading","02170000",2021,2309,1.3,0.5,18.1,25,9.5,0.6,4.5,4.1,87.4,0.1,0.1,3.2
"Northampton","02100000",2021,2579,9.3,4.3,20.6,39,27.4,3.1,3.1,16.1,70.4,0.2,0,7.1
"Northampton-Smith Vocational Agricultural","04060000",2021,528,4.4,3.4,40.7,59.1,35.4,1.5,0.6,13.1,83.1,0,0.2,1.5
"Northboro-Southboro","07300000",2021,1355,13.7,1.3,15.2,23.8,9.2,1.5,12.4,6.3,74.8,0.4,0.4,4.2
"Northborough","02130000",2021,1527,19.4,6.3,19.7,35.3,14.5,1.4,12.4,8.9,70.7,0.5,2.4,3.6
"Northbridge","02140000",2021,1924,4.7,2.5,18.4,45.4,33.9,0.9,0.8,8.8,84.3,0.1,0.1,5
"Northeast Metropolitan Regional Vocational Technical","08530000",2021,1281,18.7,5,25.5,60.3,40.7,2.5,0.7,30.4,64.7,0.2,0.2,1.4
"Northern Berkshire Regional Vocational Technical","08510000",2021,506,0,0,15.6,46.2,38.5,0.8,0.6,1.4,95.5,0,0,1.8
"Norton","02180000",2021,2358,2.6,1.9,21.8,37.5,22.3,2.1,2,4,88,0.2,0,3.7
"Norwell","02190000",2021,2182,1.4,0.2,15.8,18.8,4.4,0.5,2.1,1.5,92.3,0,0.1,3.5
"Norwood","02200000",2021,3387,27,12.8,21.8,49.9,29.4,10.2,8.6,16.3,61.5,0,0.6,2.7
"Oak Bluffs","02210000",2021,414,28.3,20,22.5,56.5,31.2,2.7,1.4,31.2,57.2,1,0,6.5
"Old Colony Regional Vocational Technical","08550000",2021,563,0,0,23.3,36.8,18.8,0.5,0.9,2.3,93.4,0.2,0,2.7
"Old Rochester","07400000",2021,1130,1.4,0.1,12.5,24.1,15.3,2.4,1.4,1.9,89.3,0.1,0,5
"Old Sturbridge Academy Charter Public School (District)","35150000",2021,280,5.4,3.6,20,45.7,29.6,4.6,1.1,12.5,80.7,0,0,1.1
"Orange","02230000",2021,465,1.3,1.1,29.4,73,63.9,1.3,0.6,8.2,84.5,0.2,0,5.2
